ID,Name,Category,Lowest Price,Highest Price,Price Savings,Currency,Available At,Source Count,Images,Description
unified_dbbc78616d86,Fancy Pearl Hair band - UBK1487,Hair Pins,,,,INR,unboxkar,1,5,
unified_88ac94384d92,Frosted Pastel Hair Claw - UBK1691,Hair Pins,,,,INR,unboxkar,1,5,
unified_643b5b72fca4,Korean Matt pins (Set of 2) - UBK1934,Hair Pins,,,,INR,unboxkar,1,5,
unified_ad01aa5de5b0,Shaped Pearl Tic tac (6Pcs) - UBK925,Hair Pins,,,,INR,unboxkar,1,5,
unified_31438d21fd33,Butterfly hair pins ( 2 pcs ) - UBK1767,Hair Pins,,,,INR,unboxkar,1,5,
unified_d50630939a04,Bobby Pins - UBK2060,Hair Pins,,,,INR,unboxkar,1,5,
unified_65a5d340e86d,Matt Bobby Pins - UBK773,Hair Pins,,,,INR,unboxkar,1,5,
unified_3ec618f10b9d,Matt hair pins (Pack of 3) - UBK2144,Hair Pins,,,,INR,unboxkar,1,5,
unified_0413e4c178b4,Marble Hair pins (Set of 2)- UBK2108,Hair Pins,,,,INR,unboxkar,1,5,
unified_667bf43f574c,Heart Hair Clip with Alligator pin - UBK1025,Hair Pins,,,,INR,unboxkar,1,5,
unified_1aa88c912f84,Matt finish plain alligator pin ( Set of 3 ) - UBK2110,Hair Pins,,,,INR,unboxkar,1,5,
unified_0eea31c929b6,Slide in hair pin - UBK2147,Hair Pins,,,,INR,unboxkar,1,5,
unified_c84b33277723,Shiny bow Hair Pin - UBK1681,Hair Pins,,,,INR,unboxkar,1,5,
unified_e03b057c6301,Stone heart pins (Pack of 2) - UBK2123,Hair Pins,,,,INR,unboxkar,1,5,
unified_7f0d067c2acd,Cute Cartoon Snap Hair Clip Set (2 pcs) – UBK3119,Hair Pins,,,,INR,unboxkar,1,5,
unified_138847e9132c,Matt alligator Hair Pin - UBK2274,Hair Pins,,,,INR,unboxkar,1,5,
unified_19fcac4cfe0f,Pearl hai pins (3Pcs) - UBK2769,Hair Pins,,,,INR,unboxkar,1,5,
unified_d9c01881440f,Matte Solid Hair Clip Set (2 pcs) – UBK3116,Hair Pins,,,,INR,unboxkar,1,5,
unified_0cbfa49e791c,Plain Hair bow (Hair pin) - UBK3042,Hair Pins,,,,INR,unboxkar,1,5,
unified_7894e0e5acd9,Golden butterfly Hair pins (Set of 2)- UBK2594,Hair Pins,,,,INR,unboxkar,1,5,
unified_4f8e3fa911ad,Designer hair pins (Set of 2) - UBK2860,Hair Pins,,,,INR,unboxkar,1,5,
unified_3194ef6d1bd5,Heart shaded hair pins (2Pcs) - UBK3028,Hair Pins,,,,INR,unboxkar,1,5,
unified_b419be29dbb6,Pearl Hair band - UBK900,Headbands,,,,INR,"unboxkar, unboxkar, unboxkar",3,5,
unified_01d9aacda207,Fancy Hair band - UBK1083,Headbands,,,,INR,unboxkar,1,5,
unified_d49dd083119e,Face Wash Wristband - UBK2330,Headbands,,,,INR,unboxkar,1,5,
unified_0c6ff7e12573,Hair Accessories Gift set - UBK3034,Headbands,,,,INR,unboxkar,1,5,
unified_7aa6bd2a04c4,Fancy Headband - UBK1089,Headbands,,,,INR,unboxkar,1,5,
unified_38d634fde56d,Pearl hairband + 3 Pins - UBK2893,Headbands,,,,INR,unboxkar,1,5,
unified_0cf89be7a503,Sanrio Plush Character Headband – UBK3383,Headbands,,,,INR,unboxkar,1,5,
unified_0dee5881c3d6,Pearl hairband with spiral hair tie - UBK2892,Headbands,,,,INR,unboxkar,1,5,
unified_0146411cffe2,Solid Knot Bow Headband – UBK3385,Headbands,,,,INR,unboxkar,1,5,
unified_1d137ce7226a,Polka Dot Bow Headband – UBK3386,Headbands,,,,INR,unboxkar,1,5,
unified_ca51dad55d4b,Daisy Print Bow Headband – UBK3388,Headbands,,,,INR,unboxkar,1,5,
unified_9d745accdd2a,Striped Bow Headband – UBK3384,Headbands,,,,INR,unboxkar,1,5,
unified_5f95f6516bae,Tiny Dot Bow Headband – UBK3389,Headbands,,,,INR,unboxkar,1,5,
unified_e4166a25aff5,Floral Daisy Bow Headband – UBK3387,Headbands,,,,INR,unboxkar,1,5,
unified_f65146064984,Unboxkar Zipper Pouch 😍 (Pack of 5),Utility,,,,INR,unboxkar,1,5,
unified_de0c93c0d212,Cute nail cutter - UBK2354,Utility,,,,INR,unboxkar,1,5,
